first_visit_date,views,days_since_first_visit,retained_users,total_users_cohort,retention_rate
2019-10-04,d. 31~,8,122,563,0.216696269982238
2019-10-04,d. 31~,9,141,563,0.25044404973357015
2019-10-04,d. 31~,10,139,563,0.2468916518650089
2019-10-04,d. 31~,11,113,563,0.20071047957371227
2019-10-04,d. 31~,12,117,563,0.20781527531083482
2019-10-04,d. 31~,13,101,563,0.17939609236234458
2019-10-04,d. 31~,14,109,563,0.1936056838365897
2019-10-04,d. 31~,15,102,563,0.1811722912966252
2019-10-04,d. 31~,16,100,563,0.17761989342806395
2019-10-04,d. 31~,17,91,563,0.16163410301953818
2019-10-04,d. 31~,18,98,563,0.17406749555950266
2019-10-04,d. 31~,19,104,563,0.1847246891651865
2019-10-04,d. 31~,20,108,563,0.19182948490230906
2019-10-04,d. 31~,21,114,563,0.2024866785079929
2019-10-04,d. 31~,22,88,563,0.15630550621669628
2019-10-04,d. 31~,23,98,563,0.17406749555950266
